sample_id	mRNA_srrs	sgRNA_srrs
25	SRR28690063;SRR28690065;SRR28690068;SRR28690070;SRR28690072;SRR28690074;SRR28690076;SRR28690079;SRR28690081;SRR28690083;SRR28690085;SRR28690366;SRR28690368;SRR28690370;SRR28690561;SRR28690564	SRR28690064;SRR28690067;SRR28690069;SRR28690071;SRR28690073;SRR28690075;SRR28690078;SRR28690080;SRR28690082;SRR28690084;SRR28690086;SRR28690365;SRR28690367;SRR28690369;SRR28690371;SRR28690563
26	SRR28690044;SRR28690047;SRR28690049;SRR28690051;SRR28690053;SRR28690055;SRR28690058;SRR28690060;SRR28690062;SRR28690349;SRR28690351;SRR28690354;SRR28690356;SRR28690358;SRR28690360;SRR28690362	SRR28690043;SRR28690046;SRR28690048;SRR28690050;SRR28690052;SRR28690054;SRR28690057;SRR28690059;SRR28690061;SRR28690348;SRR28690350;SRR28690353;SRR28690355;SRR28690357;SRR28690359;SRR28690361
27	SRR28689841;SRR28689843;SRR28689846;SRR28690040;SRR28690042;SRR28690538;SRR28690540;SRR28690542;SRR28690544;SRR28690547;SRR28690549;SRR28690551;SRR28690553;SRR28690555;SRR28690558;SRR28690560	SRR28689840;SRR28689842;SRR28689845;SRR28690039;SRR28690041;SRR28690537;SRR28690539;SRR28690541;SRR28690543;SRR28690546;SRR28690548;SRR28690550;SRR28690552;SRR28690554;SRR28690557;SRR28690559
28	SRR28689824;SRR28689826;SRR28689828;SRR28689830;SRR28689832;SRR28689835;SRR28689837;SRR28689839;SRR28690022;SRR28690024;SRR28690026;SRR28690029;SRR28690031;SRR28690033;SRR28690035;SRR28690037	SRR28689823;SRR28689825;SRR28689827;SRR28689829;SRR28689831;SRR28689834;SRR28689836;SRR28689838;SRR28690021;SRR28690023;SRR28690025;SRR28690028;SRR28690030;SRR28690032;SRR28690034;SRR28690036
29	SRR28707321;SRR28707359;SRR28707378;SRR28707395;SRR28707437;SRR28707439;SRR28707443;SRR28707620;SRR28707638;SRR28707655;SRR28707677;SRR28707744;SRR28707762;SRR28707763;SRR28707817;SRR28708041	SRR28707348;SRR28707360;SRR28707389;SRR28707406;SRR28707426;SRR28707438;SRR28707454;SRR28707609;SRR28707649;SRR28707666;SRR28707733;SRR28707755;SRR28707774;SRR28707782;SRR28708002;SRR28708056
30	SRR28707263;SRR28707283;SRR28707302;SRR28707320;SRR28707343;SRR28707551;SRR28707562;SRR28707603;SRR28707727;SRR28707872;SRR28707889;SRR28707908;SRR28707941;SRR28708040;SRR28708055;SRR28708072	SRR28707252;SRR28707272;SRR28707294;SRR28707313;SRR28707332;SRR28707540;SRR28707573;SRR28707592;SRR28707697;SRR28707716;SRR28707861;SRR28707878;SRR28707919;SRR28707930;SRR28708029;SRR28708067
31	SRR28707190;SRR28707207;SRR28707224;SRR28707246;SRR28707478;SRR28707495;SRR28707512;SRR28707683;SRR28707685;SRR28707781;SRR28707800;SRR28707816;SRR28707833;SRR28707968;SRR28707985;SRR28708001	SRR28707218;SRR28707235;SRR28707467;SRR28707506;SRR28707523;SRR28707682;SRR28707684;SRR28707689;SRR28707780;SRR28707789;SRR28707805;SRR28707844;SRR28707957;SRR28707974;SRR28707996;SRR28708013
32	SRR28707417;SRR28707419;SRR28707421;SRR28707423;SRR28707425;SRR28707428;SRR28707430;SRR28707432;SRR28707434;SRR28707436;SRR28707670;SRR28707672;SRR28707674;SRR28707676;SRR28707679;SRR28707681	SRR28707416;SRR28707418;SRR28707420;SRR28707422;SRR28707424;SRR28707427;SRR28707429;SRR28707431;SRR28707433;SRR28707435;SRR28707669;SRR28707671;SRR28707673;SRR28707675;SRR28707678;SRR28707680
33	SRR28707397;SRR28707399;SRR28707401;SRR28707403;SRR28707405;SRR28707408;SRR28707410;SRR28707412;SRR28707414;SRR28707654;SRR28707657;SRR28707659;SRR28707661;SRR28707663;SRR28707665;SRR28707668	SRR28707396;SRR28707398;SRR28707400;SRR28707402;SRR28707404;SRR28707407;SRR28707409;SRR28707411;SRR28707413;SRR28707415;SRR28707656;SRR28707658;SRR28707660;SRR28707662;SRR28707664;SRR28707667
34	SRR28707392;SRR28707394;SRR28707440;SRR28707442;SRR28707445;SRR28707447;SRR28707449;SRR28707451;SRR28707453;SRR28707456;SRR28707458;SRR28707460;SRR28707773;SRR28707776;SRR28707778;SRR28707948	SRR28707393;SRR28707441;SRR28707444;SRR28707446;SRR28707448;SRR28707450;SRR28707452;SRR28707455;SRR28707457;SRR28707459;SRR28707461;SRR28707772;SRR28707775;SRR28707777;SRR28707779;SRR28707949
