sample_id	mRNA_srrs	sgRNA_srrs
KD8_seq1_p1_87	SRR19410333;SRR19410334;SRR19410335;SRR19410336	SRR19410324;SRR19410325;SRR19410326;SRR19410327
KD8_seq1_p1_88	SRR19410099;SRR19410100;SRR19410101;SRR19410103	SRR19410090;SRR19410092;SRR19410093;SRR19410094
KD8_seq1_p1_89	SRR19410083;SRR19410084;SRR19410085;SRR19410842	SRR19410833;SRR19410834;SRR19410835;SRR19410836
KD8_seq1_p1_90	SRR19425654;SRR19425939;SRR19426125;SRR19426395	SRR19426372;SRR19426383;SRR19426394;SRR19426555
KD8_seq1_p1_91	SRR19425938;SRR19425950;SRR19426501;SRR19426512	SRR19425676;SRR19425855;SRR19425866;SRR19426471
KD8_seq1_p1_92	SRR19425827;SRR19425838;SRR19425849;SRR19426454	SRR19425810;SRR19425821;SRR19426102;SRR19426113
KD8_seq1_p1_93	SRR19425793;SRR19426298;SRR19426398;SRR19426409	SRR19425762;SRR19425914;SRR19425925;SRR19426094
KD8_seq1_p1_94	SRR19425734;SRR19425745;SRR19426607;SRR19426618	SRR19425693;SRR19425704;SRR19426037;SRR19426048
KD8_seq1_p1_95	SRR19426005;SRR19426245;SRR19426256;SRR19426267	SRR19426204;SRR19426215;SRR19426554;SRR19426566
KD8_seq1_p2_0	SRR19426186;SRR19426197;SRR19426393;SRR19426527	SRR19426385;SRR19426386;SRR19426387;SRR19426388
KD8_seq1_p2_1	SRR19426376;SRR19426377;SRR19426378;SRR19426379	SRR19426151;SRR19426152;SRR19426153;SRR19426370
KD8_seq1_p2_2	SRR19426142;SRR19426143;SRR19426144;SRR19426146	SRR19425878;SRR19425880;SRR19425881;SRR19425882
KD8_seq1_p2_3	SRR19425972;SRR19425973;SRR19425974;SRR19425975	SRR19425963;SRR19425964;SRR19425965;SRR19425966
KD8_seq1_p2_4	SRR19425954;SRR19425955;SRR19425956;SRR19425957	SRR19426509;SRR19426510;SRR19426511;SRR19426513
KD8_seq1_p2_5	SRR19426500;SRR19426502;SRR19426503;SRR19426504	SRR19425952;SRR19426493;SRR19426494;SRR19426495
KD8_seq1_p2_6	SRR19425943;SRR19425944;SRR19425945;SRR19425946	SRR19425933;SRR19425934;SRR19425935;SRR19425936
KD8_seq1_p2_7	SRR19426365;SRR19426366;SRR19426367;SRR19426369	SRR19426356;SRR19426358;SRR19426359;SRR19426360
KD8_seq1_p2_8	SRR19426348;SRR19426349;SRR19426350;SRR19426351	SRR19426486;SRR19426487;SRR19426488;SRR19426489
KD8_seq1_p2_9	SRR19426477;SRR19426478;SRR19426479;SRR19426480	SRR19425874;SRR19426469;SRR19426470;SRR19426472
KD8_seq1_p2_10	SRR19425865;SRR19425867;SRR19425868;SRR19425869	SRR19425857;SRR19425858;SRR19425859;SRR19425860
KD8_seq1_p2_11	SRR19425680;SRR19425681;SRR19425682;SRR19425851	SRR19425671;SRR19425672;SRR19425673;SRR19425674
KD8_seq1_p2_12	SRR19425662;SRR19425663;SRR19425664;SRR19425666	SRR19425652;SRR19425655;SRR19425656;SRR19425657
KD8_seq1_p2_13	SRR19425644;SRR19425645;SRR19425646;SRR19425647	SRR19425635;SRR19425636;SRR19425637;SRR19425638
KD8_seq1_p2_14	SRR19426460;SRR19426461;SRR19426462;SRR19426463	SRR19426451;SRR19426452;SRR19426453;SRR19426455
KD8_seq1_p2_15	SRR19425848;SRR19425850;SRR19426445;SRR19426446	SRR19425840;SRR19425841;SRR19425842;SRR19425843
KD8_seq1_p2_16	SRR19425831;SRR19425832;SRR19425833;SRR19425834	SRR19426440;SRR19426441;SRR19426442;SRR19426443
KD8_seq1_p2_17	SRR19426431;SRR19426432;SRR19426433;SRR19426435	SRR19426422;SRR19426424;SRR19426425;SRR19426426
KD8_seq1_p2_18	SRR19426138;SRR19426139;SRR19426140;SRR19426141	SRR19426129;SRR19426130;SRR19426131;SRR19426132
KD8_seq1_p2_19	SRR19426119;SRR19426120;SRR19426121;SRR19426122	SRR19426110;SRR19426111;SRR19426112;SRR19426114
KD8_seq1_p2_20	SRR19426101;SRR19426103;SRR19426104;SRR19426105	SRR19425823;SRR19425824;SRR19425825;SRR19425826
