sample_id	mRNA_srrs	sgRNA_srrs
RD7_seq1_RPE1_31_2	SRR19496763;SRR19497497;SRR19497500;SRR19497692	SRR19496941;SRR19497683;SRR19497687;SRR19497689
RD7_seq1_RPE1_31_3	SRR19496759;SRR19497498;SRR19497502;SRR19497678	SRR19496939;SRR19497670;SRR19497686;SRR19497688
RD7_seq1_RPE1_31_4	SRR19496760;SRR19497499;SRR19497503;SRR19497679	SRR19496940;SRR19497680;SRR19497681;SRR19497684
RD7_seq1_RPE1_32_1	SRR19496930;SRR19496932;SRR19496938;SRR19497676	SRR19496919;SRR19496923;SRR19496924;SRR19497244
RD7_seq1_RPE1_32_2	SRR19496929;SRR19496931;SRR19497673;SRR19497677	SRR19496920;SRR19496921;SRR19496927;SRR19497245
RD7_seq1_RPE1_32_3	SRR19496933;SRR19496936;SRR19497238;SRR19497675	SRR19496922;SRR19496925;SRR19496928;SRR19497241
RD7_seq1_RPE1_32_4	SRR19496935;SRR19496937;SRR19497236;SRR19497674	SRR19496918;SRR19497235;SRR19497240;SRR19497242
RD7_seq1_RPE1_33_1	SRR19497226;SRR19497229;SRR19497234;SRR19497662	SRR19497237;SRR19497489;SRR19497653;SRR19497668
RD7_seq1_RPE1_33_2	SRR19497224;SRR19497225;SRR19497227;SRR19497228	SRR19497652;SRR19497659;SRR19497664;SRR19497666
RD7_seq1_RPE1_33_3	SRR19497223;SRR19497230;SRR19497239;SRR19497661	SRR19497491;SRR19497651;SRR19497654;SRR19497657
RD7_seq1_RPE1_33_4	SRR19497222;SRR19497233;SRR19497660;SRR19497663	SRR19497490;SRR19497655;SRR19497658;SRR19497665
RD7_seq1_RPE1_34_1	SRR19497488;SRR19497494;SRR19497648;SRR19497649	SRR19497201;SRR19497203;SRR19497220;SRR19497481
RD7_seq1_RPE1_34_2	SRR19497221;SRR19497484;SRR19497487;SRR19497647	SRR19497475;SRR19497477;SRR19497480;SRR19497482
RD7_seq1_RPE1_34_3	SRR19497472;SRR19497492;SRR19497493;SRR19497650	SRR19497200;SRR19497202;SRR19497205;SRR19497479
RD7_seq1_RPE1_34_4	SRR19497471;SRR19497473;SRR19497486;SRR19497646	SRR19497204;SRR19497476;SRR19497478;SRR19497483
RD7_seq1_RPE1_35_1	SRR19496902;SRR19497207;SRR19497210;SRR19497218	SRR19496907;SRR19496908;SRR19496909;SRR19496913
RD7_seq1_RPE1_35_2	SRR19497206;SRR19497209;SRR19497211;SRR19497214	SRR19496911;SRR19496916;SRR19496917;SRR19497462
